uid,email,username,password,surname,name
59aea4c0-e3c5-4b3e-9bbd-f49ad2d2a30c,pamich97@yandex.com,pamichela1,0b5947b3c755dc633fab7277e4d09d38,Michelakos,Panagiotis
92c2a5c0-2855-4922-bc10-a42e90db4121,leonidapach91@yahoo.com,lepa5,5566c86fdfe8b00608efdeb3f5f43a36,Pachis,Leonidas
0d72508d-48da-47b2-b179-df70efa583ec,agior94@yandex.com,aiordan6,b1b2872778dc2569687228bb3390b3a8,Iordanou,Aglaia
89db81fc-98f5-4cfa-bebc-4720698b0f33,agapitometa79@gmail.com,metal88,e7264e1339ff9b26d35f346cf8a8284c,Metalis,Agapitos
0abc36e1-cf20-4f39-a2de-2cc99908fb43,popapai101@yahoo.com,polpapaioanno3,01b37e95f9099717a6c87cdde9afc7a4,Papaioannou,Polyxeni
6624a9fa-2823-4158-8d1a-dae8982cf43a,almichel68@aol.com,almichel2,0edfb3e2ca980d7836af18740a2e0bc8,Michelakakis,Alexia
776a9427-049c-48ca-96a5-9e004b8e878f,perapt77@gmail.com,perra0,9a722ffa7919769fb3e03c2cec7c3a07,Rapti,Persefoni
7ce42c38-bfb6-4990-b3c1-c3af9e0ba7a8,vasilantonio80@protonmail.com,vaanto7,b6ec72c888feede5d6fbd640fe3a62a6,Antoniou,Vasiliki
ef68a629-922f-46d0-a192-cdf0eb721ff3,michaespyro89@hotmail.com,michs2,ed6847d45df56d001059680731d39dfb,Spyrou,Michaela
72fd7868-792f-4c2a-9313-48b3015782d5,michantoni68@protonmail.com,micanton0,f29d6b932df4fd2b78094f8e51625fd6,Antoniadou,Michaela
003148e3-82ba-4036-94ea-a18d1af58745,irasteph71@aol.com,istephan7,1873adc044f199f20b05cf4c164905f9,Stephanou,Iraklis
b99ff2d4-d64a-4d76-a4d4-a0efa396b0d0,demetrpapajim94@aol.com,dempapad1,e6006f7b355052cdc677d0156590e299,Papadimitriou,Demetrios
c91b50ed-44a9-45ca-ba85-85d0567dac8b,spiridmich78@aol.com,spirm7,ad9cfbdf6a8a233e464ab77f6ed8502a,Michailidis,Spiridon
ec9df5ca-65aa-48ab-9fee-4f9f6e569b60,elpach109@yahoo.com,elefp6,174c7b81a39f1d6ffd85db115f6dc679,Pachopoulou,Eleftheria
b440d9f4-294b-4484-81ec-0f1aa506f750,effrosydemetri74@aol.com,effrodemet5,7a9011db3654571501bdcf8cbddf7111,Demetriou,Effrosyni
910fb9c9-83e3-4d73-954c-ba9eff4dd03d,sokraefth99@yahoo.com,sokpachi4,2d40c27365646d6061f4d55b40874c96,Efthimiou,Sokratis
f3cfef44-c9aa-4c97-96ae-1bc01b0e7e4a,irida68@yahoo.com,irid3,93a3b7291caced7811e444be01d618dc,Papadopoulou,Iris
